韩文程的会议室-说话人01(00:00:00): 两个地方我觉得可以明显一点。

韩文程的会议室-说话人02(00:00:03): 行。

韩文程的会议室-说话人01(00:00:04): 引导他们去登录？

韩文程的会议室-说话人02(00:00:05): 行没问题，就是调整页面的问题。然后前前往使用的话现在。账号登录或者手机号登录，这个都是我们注册进来的，就比如说我公司里面才会普通用户，他是输不进来的。

韩文程的会议室-说话人01(00:00:24): 明白验证码现在还能搞吗？

韩文程的会议室-说话人02(00:00:26): 现在硬盘已经接了。

韩文程的会议室-说话人01(00:00:28): 接过了？

韩文程的会议室-说话人02(00:00:28): 已经交过了电子码都是可以去收到的。

韩文程的会议室-说话人01(00:00:29): OK 对！免费注册还是没有？

韩文程的会议室-说话人02(00:00:34): 免费注册现在是一个什么逻辑，免费注册在外边来说，其实就相当于我们内部里边不是有企业管理吗？他其实就相当于是创建了一个企业。

韩文程的会议室-说话人01(00:00:43): 企业。它里面是没有小件的。

韩文程的会议室-说话人02(00:00:46): 对没有就相当于是我们是一个代理，给他开了一个企业。

韩文程的会议室-说话人01(00:00:50): 代理。

韩文程的会议室-说话人02(00:00:51): 现在企业国内。

韩文程的会议室-说话人01(00:00:52): 我问你意思？

韩文程的会议室-说话人02(00:00:53): 默认现在是挂在我们这个代理上，比如说我散户进来之后，我注册一个企业。

韩文程的会议室-说话人01(00:00:57): 明白，如果是客户直接买的话，是我们帮他注册企业。

韩文程的会议室-说话人02(00:01:02): 对我们要在系统里边就有企业管理给他开明白两套逻辑是一样的，相当于一个是在这个里头，我们挂上代理时挂上我们，因为我们默认觉得是散户，还有一种情况下就是说他链接上带了代理那个标识，那这个他注册进来就是代理的用户企业。

韩文程的会议室-说话人01(00:01:04): 明白两套逻辑是一样的，相当于。

韩文程的会议室-说话人01(00:01:19): 那他我觉得这个挺棒的，那他注册完了之后，比方说我现在我完全没有不知道你们是你们有没有给我推销过，我打开这个网页，然后我就注册了注册好了之后里面会不会有一个让我去购买什么样的东西？OK OK OK OK。

韩文程的会议室-说话人02(00:01:27): 我打开网页，我就注册了。OK OK OK 然后他购买之后对他注册的手机号，然后他进来就可以登录了。

韩文程的会议室-说话人01(00:01:39): Ok. Ok. 对这些。

韩文程的会议室-说话人02(00:01:45): 这是我们测试的，我一直都在写，就是用我们方便测试。

韩文程的会议室-说话人01(00:01:48): 忘记密码也可以让用户去重。

韩文程的会议室-说话人02(00:01:50): 换密码可以让他去重置这个密码。

韩文程的会议室-说话人03(00:01:52): 默认希望让他用手机号登录验证码，最方便。

韩文程的会议室-说话人01(00:01:58): 记密码？对。

韩文程的会议室-说话人03(00:02:01): 默认了他一定。

韩文程的会议室-说话人01(00:02:05): 我问的问题主要意思就是咱们如果做好的地方的话，不做好的话，行对现在用户靠。

韩文程的会议室-说话人03(00:02:10): 行对。对。

韩文程的会议室-说话人01(00:02:14): 很大的，就他每天给我发的那些问题，我都有点啼笑皆非**。没声调。

韩文程的会议室-说话人03(00:02:26): 你看了之后，比如说有些哪些你觉得需要？比如你说用户的一些问题可以在这里解决就可以，我觉得需要他去做官网关掉就行，对一般新的判断要做的。

韩文程的会议室-说话人01(00:02:51): 那新建面成分的时候？

韩文程的会议室-说话人02(00:02:52): 新界面正在改。

韩文程的会议室-说话人01(00:02:53): 刚测的真的感。

韩文程的会议室-说话人02(00:02:55): 那就这几天？

韩文程的会议室-说话人01(00:02:57): OK，这几天也就是说我们能跟自己的接口对完同时。

韩文程的会议室-说话人02(00:03:03): 等我一下，到时间我直接拉你。

韩文程的会议室-说话人01(00:03:05): 对。

韩文程的会议室-说话人03(00:03:07): 没有没有外网去。

韩文程的会议室-说话人02(00:03:11): 这周。

韩文程的会议室-说话人01(00:03:12): 前面也有？

韩文程的会议室-说话人03(00:03:13): 登录界面对登录界面也参照？

韩文程的会议室-说话人01(00:03:22): 咱到时候扫描的视频的那一页能不能隐藏放在这个容器里面？

韩文程的会议室-说话人03(00:03:29): 小龙虾的那个视频吗？对视频叫什么？你你有视频吗？

韩文程的会议室-说话人01(00:03:30): 对视频叫什么你有视频吗？大家都在做，我觉得。

韩文程的会议室-说话人03(00:03:34): 我做完之后，我们跟曾刚他们考虑，后来他们。

韩文程的会议室-说话人01(00:03:37): 后来之后会发到视频号里面，然后在视频号里面把那个视频的 URL 导出来，嵌到浏览器里面。

韩文程的会议室-说话人03(00:03:44): 没事，我等下跟咱们看一下。

韩文程的会议室-说话人02(00:03:46): 那23块钱？这就是登录进来，首先就是分我们现在分三个角，分几个角色？官方管理员其实就相当于我们这边的最大的一个权限的管理员，然后角色的话，还有一个是财务，其实就相当于是官方管理员下边的。子项就是他官方管理的功能，财务人员有一部分。

韩文程的会议室-说话人01(00:04:09): 明白。

韩文程的会议室-说话人02(00:04:10): 对，然后交付运维，这就是我们交付人员的一个页面，然后交付人员还有交付管理员，他俩就只有一个区别就是多了一个查看全部。多了一个全部工单，其他的没有什么区别就多了一个功能多了一个改派的，因为这个管理员，比如说我要去改派给其他的叫编委，这个是改派的一个功能，其实就多了一个，然后就是还有一个代理，这就是我们代理人员的一些页面功能等会我会细讲，我先大概说一下对。

韩文程的会议室-说话人02(00:04:45): 然后，这就是客户管理员的，现在因为有很多好像没有对接，所以说我们把能做的，我们先拿过来，就是比如说建那个空间盖板。

韩文程的会议室-说话人01(00:04:56): 是销售的。

韩文程的会议室-说话人02(00:04:57): 这是客户？

韩文程的会议室-说话人01(00:04:59): 客户的。

韩文程的会议室-说话人02(00:04:59): 对现在客户那边很多伙伴基本都拿过来，所以说我们只能先按我们的。

韩文程的会议室-说话人01(00:05:05): 以后客户登记，他就在这看。

韩文程的会议室-说话人03(00:05:07): 当注册完之后，他进来就是一个这样的。

韩文程的会议室-说话人01(00:05:10): 没有别的原因。

韩文程的会议室-说话人02(00:05:10): 进来之后其实就这个页面。

韩文程的会议室-说话人01(00:05:12): 明白就是我们把账号跟这个内容做了映射，他进来就是不会看到其他人。

韩文程的会议室-说话人02(00:05:16): 对每个账号进来之后，它是有一个角色权限的。

韩文程的会议室-说话人01(00:05:20): 明白。

韩文程的会议室-说话人02(00:05:20): 因为我这个账号我是为了测试，我把它所有权限都开了。

韩文程的会议室-说话人01(00:05:23): 明白明白对，然后。

韩文程的会议室-说话人02(00:05:24): 这就是等会我会细讲那些购买这种合同工单咨询这些。

韩文程的会议室-说话人01(00:05:28): 工单咨询那边 OK？

韩文程的会议室-说话人02(00:05:30): 对，然后这些我先把大概几个角色先给说一下。

韩文程的会议室-说话人01(00:05:34): 明白。

韩文程的会议室-说话人02(00:05:34): 然后接下来就是，比如说像到官方网里面，然后这个全局表盘我就按照我们现在有的数据，然后我去给它展示出来。还有效果，后边我们都可以做统计的都可以做调整增加，这是我们的后台。

韩文程的会议室-说话人03(00:05:52): 这是我们的后台。

韩文程的会议室-说话人02(00:05:53): 对我们这边来看，这里就是你，你们因为这个是我拿李磊那个版本，然后它里边有一些是我们拿到数据的，我现在是按照有的数据，我是自己。

韩文程的会议室-说话人03(00:05:54): 对我们这边来看这里。

韩文程的会议室-说话人02(00:06:04): 先搞过来了，这一块都是不做可以调整，你们先来看一下要哪些数据，不要就是你们来给我，然后我可以再去给他改。

韩文程的会议室-说话人01(00:06:12): 明白加加一个咱们总共说了多少坐席吧，累计企业它企业里边132，它不代表坐席132吗？

韩文程的会议室-说话人02(00:06:19): 累计错题是我这边也有累计错题。

韩文程的会议室-说话人01(00:06:21): 对我这边也有累计多云，对我总共卖了卖给了多少个企业，每月新增多少企业累计成交额，然后现在的本月成交额，你这几个到时候可以对应，你看累计企业累计成交额，它是一起的，可以这个还是有对可以没问题。

韩文程的会议室-说话人02(00:06:36): 我还在用对没问题，对这个样式我还在调对。

韩文程的会议室-说话人01(00:06:41): 到时候刘磊可以考虑一下，代理没问题，代理人数是不是代理人数就是我们多少做了多少代理？

韩文程的会议室-说话人02(00:06:41): 可以考虑一下，代理没问题，代理人数。对总共多少来电？

韩文程的会议室-说话人01(00:06:49): 那我觉得这个逻辑咱们先讨论一下，这是不是这样的，我们对于我们来说，我们是所有人都归我们的嘛，我们总共现在有多少家企业？然后总共卖了多少坐席，然后总共的成交额是多少？第二个的话是什么？咱们总共多少代理？

韩文程的会议室-说话人01(00:07:08): 这些代理产生的销售额从下面发下来。

韩文程的会议室-说话人01(00:07:11): 我们是走的，从上面扒下来的里边的我们的成交额里边有多少是代理产生的成交额？

韩文程的会议室-说话人03(00:07:16): 这图片是。

韩文程的会议室-说话人01(00:07:17): 你倒着来看，你本月的其实是不跟它并列。

韩文程的会议室-说话人03(00:07:22): 现代理。外部代理我们内内部的人员其实是没有区分，现在没做区分。

韩文程的会议室-说话人02(00:07:27): 现在还没有做出分理，现在他设计出来还没有代理这个概念。

韩文程的会议室-说话人03(00:07:31): 没有身份没来。

韩文程的会议室-说话人02(00:07:32): 现在代理。

韩文程的会议室-说话人03(00:07:35): 鼠标也累死了。

韩文程的会议室-说话人01(00:07:36): 你你。

韩文程的会议室-说话人02(00:07:37): 所以看一下代理这一块的。

韩文程的会议室-说话人03(00:07:38): 现在所有代理都做，咱们销售了，对就全部变成我们销售了没有？

韩文程的会议室-说话人01(00:07:42): 明白明白。

韩文程的会议室-说话人02(00:07:43): 现在这就是代理。

韩文程的会议室-说话人01(00:07:44): 明白明白。

韩文程的会议室-说话人02(00:07:47): 你看这里。

韩文程的会议室-说话人03(00:07:48): 比如说也合理的。它本质就是我们代理。

韩文程的会议室-说话人01(00:07:52): 是咱们大客户销售？

韩文程的会议室-说话人03(00:07:53): 对。

韩文程的会议室-说话人01(00:07:53): 批量客户销售。

韩文程的会议室-说话人02(00:07:55): 不管大类还是小类，我们可以按佣金规则给他。

韩文程的会议室-说话人01(00:07:58): 对。

韩文程的会议室-说话人02(00:07:59): 对我说你这样反而不复杂而不更容易管理。

韩文程的会议室-说话人01(00:08:02): 你这么容易管理，那你那边我觉得那个问题就那啥了。到时候咱们按咱们要不按运营规则给他统计，你属于代理这个运营规则的这些人多少人因为到时候咱们就可以这么区分。

韩文程的会议室-说话人03(00:08:14): 也行，反正就是反正你你如果那就是你，比如叫代理佣金或者是内部佣金之类的这种去就叫那个名字就知道是我们自己卖的还是他们卖的。

韩文程的会议室-说话人02(00:08:15): 主要这样的话比较更好维护。对再用一样东西分析。

韩文程的会议室-说话人01(00:08:24): 你们这个管理我觉得没问题的，咱们我觉得咱们核心给比方说给飞总给韩总看那个啥，看界面的时候他们能看得出来，比方说我这个月总共卖了1万个坐席，其中有2000个坐席是代理卖的。是咱们自己卖的，就看数据。

韩文程的会议室-说话人01(00:08:40): 然后包括。

韩文程的会议室-说话人03(00:08:41): 坐席你你是要统计到，比如说我们现在有四类坐席，你就不要区分了。

韩文程的会议室-说话人01(00:08:48): 你你是你是可以这么算的，我们一节一节打开咱们核心卖的，你看第一个，我想说是看到我总的这个坐席。坐席然后总的？销售额其实是累计的都是累计的，然后第二个是什么？

韩文程的会议室-说话人03(00:09:10): 都是累计的？

韩文程的会议室-说话人01(00:09:15): 这个里边是里边我不讲第二个了，它的维度不对。咱们现在讲数据分析就是总的里面其中哪些是代理的，哪些是自销的，这么多下来之后这个基本上交代清楚了，这基本上交代清楚了，然后第二个是什么，就是。对的。第三个什么续约的咱们就可以把这个数据给完善的比较丰富，我们逐步往下去看你看我们现在总共销售了，就是截止目前为止，从1月份从今年1月份一直到当前总共销售了多少，然后总销售额是多少，然后其中来自代理的是多少，自己销售的是多少，然后咱们现在当月的月活嘛，相当于咱们的月活。然后他们有多少金额？他们有多少金额，哪些是新增的，哪些是续约的，我们这个数据我觉得就初步就交代清楚。

韩文程的会议室-说话人03(00:10:26): 新增的区域现在我们能做区分吗？现在你们现在我们其实一个月都还没跑上这个数据集，这个可能得运营好几个月，你才能够去。

韩文程的会议室-说话人01(00:10:32): 对。对，但是我觉得你们可以留个口子，就是我们有意识的，看能不能后面加字段还是干啥的继续。

韩文程的会议室-说话人02(00:10:44): 没有直接删你订单就完事了。直接订单你知道我把订单列表一拉出来就知道哪些是新增哪些就是续约的，现在其实按现在只要他支付，我只要有他支付记录，我就知道他到底哪个新的哪个续约。

韩文程的会议室-说话人02(00:10:57): 首先可以做这一块。

韩文程的会议室-说话人01(00:10:59): 这些也那啥，咱们后边写个搜狗，就是我查询第一笔订单跟后边每个月的订单是不是有？

韩文程的会议室-说话人02(00:11:07): 对现在是也可以做，但是刚才你说的，比如说我代理是代理还是自销，怎么做区分，因为现在。

韩文程的会议室-说话人01(00:11:07): 对很多一大。因为写的，因为一辈子要。

韩文程的会议室-说话人02(00:11:18): 还是优先规则来区分？

韩文程的会议室-说话人01(00:11:20): 对，就我们设置有我当时会设置几个运营规则会设置大概5个，因为我的代理素材也出来了，就是 a 是给咱们自己公司的每个人员销售出去给他多少佣金，比方说5%然后我还有一个什么，我到时候我在这边配置嘛，对配好了我再。

韩文程的会议室-说话人02(00:11:25): 大概5个，因为我的代理素材也出来了。然后。那我再去跟你去。

韩文程的会议室-说话人01(00:11:40): 写那个我到时候让他把管理好，就是 S 级代理。配置 a 级代理配置 B 级代理配置 C 级代理配置还有一个咱们自己员工销售的配置。

韩文程的会议室-说话人03(00:11:51): 行 S ABC 外加一个自己的。

韩文程的会议室-说话人02(00:11:53): 卖家就自己的对，那这样那到时候啥。

韩文程的会议室-说话人03(00:11:57): 那里直接可以显示 SA 分没有就用。

韩文程的会议室-说话人02(00:12:00): 没有这个佣金流在佣金流水是不是配，还是说在佣金流水配？

韩文程的会议室-说话人01(00:12:04): 对新规则迎新规则。

韩文程的会议室-说话人03(00:12:05): 你对。

韩文程的会议室-说话人02(00:12:06): 对到时候这里要去。

韩文程的会议室-说话人03(00:12:08): 佣金比例变成一个佣金柜的。

韩文程的会议室-说话人02(00:12:10): 这里现在其实只有名称和比例，那到时候我还要去加一个是 S 级的还是 a 级的代理，再加上标。

韩文程的会议室-说话人01(00:12:15): 我配别的名就好了？

韩文程的会议室-说话人02(00:12:16): 在名字里？

韩文程的会议室-说话人03(00:12:17): 我把一次去申请了。

韩文程的会议室-说话人02(00:12:18): 名字区分也行，我怕你们后面一改到时候他容易筛选的有问题。

韩文程的会议室-说话人01(00:12:24): 我把名字改了行。

韩文程的会议室-说话人02(00:12:25): 行。

韩文程的会议室-说话人01(00:12:26): 我把名字改了之后，就是每个我给销售开的，其实也是代理账户，我给销售其实开的也是代理账户，你代理账户匹配什么规则，你就用什么规则？

韩文程的会议室-说话人02(00:12:35): 我的意思拿 a 拿标识做标识，我现在能做，但是如果说你要名字，我还得等你名字，或者你把名字先给我也行。

韩文程的会议室-说话人01(00:12:43): 就 S ABC 就 S 级代理？

韩文程的会议室-说话人01(00:12:46): A 级代理，b 级代理 c 级代理，然后还有一个叫什么代理叫代理那个什么，那你们到时候？

韩文程的会议室-说话人02(00:12:49): 还有一个。那你们到时候把这个我名字吃完，到时候有时间你把这名字发了，直接进行匹配，这样的话我们就能做这个，比如说你想做的这个云音柜的，然后发我没问题。

韩文程的会议室-说话人01(00:12:59): 这样。对吗，对。

韩文程的会议室-说话人02(00:13:09): 那这个就是现在全局要完这里，反正这一块是能做调整，其实就是做统计，就是就你们这边提需求就行，到时候比如说哪些要统计的，你们提就行，因为我帮你们做统计就行。

韩文程的会议室-说话人01(00:13:21): 都可以。

韩文程的会议室-说话人02(00:13:22): 这一块就是统计的一个页面。

韩文程的会议室-说话人01(00:13:24): 总成交趋势挺好的，可以留着。

韩文程的会议室-说话人02(00:13:28): 然后这个对我现在有两个疑问点就是后边到时候可能要给，比如说我们等会再讲这个成交额和佣金，最后怎么才能算它的值，我觉得还是要和你对一下。

韩文程的会议室-说话人01(00:13:43): 那怎么讲。

韩文程的会议室-说话人02(00:13:44): 成交额？

韩文程的会议室-说话人02(00:13:48): 是不是算最后我们给他开通之后的状态才算是成交，就所有都明白你的意思？

韩文程的会议室-说话人01(00:13:54): 我说你意思就是不是它激活说只是你买了之后你不激活？

韩文程的会议室-说话人02(00:13:58): 因为我买了之后后面还有一堆流程，然后等到最后交运维有个已开通那个才算是最终的在我们给他开了。就客户用起来了？

韩文程的会议室-说话人01(00:14:06): 客户用起来了。

韩文程的会议室-说话人02(00:14:08): 对，然后相当于运维，只要给他开了一瞬间，其实相当于我们的火山已经满了，对还是给他做开交易开通，对那是不是这个时候才算成交了？

韩文程的会议室-说话人03(00:14:14): 那是不是这个时候才算成交额？

韩文程的会议室-说话人02(00:14:16): 如果他购买还是不算很牛，比如说我购买。

韩文程的会议室-说话人03(00:14:20): 购买的激活其实不算的，因为他没有花出去这个钱等于。

韩文程的会议室-说话人02(00:14:25): 因为因为运维还没有给他激活，对这成交额还没有100%确定。行，然后还有这个佣金，它后面也有好多扭转的，等会我给你们讲，但是佣金对到底是按比如说你看嘛，比如说我这个成交额，我运维点了之后是不是对相当于是我的成交额已经产生了？那这样就会产生一笔佣金？

韩文程的会议室-说话人01(00:14:49): 对，但是。

韩文程的会议室-说话人02(00:14:50): 如今又有好多状态。

韩文程的会议室-说话人01(00:14:52): 因为他佣金最后被结算了。

韩文程的会议室-说话人02(00:14:52): 他这个东西最后。对他是先，比如说佣金的可能是先到代理那边确认。没问题之后，他就直接再到财务那边核款什么就是打款这些。

韩文程的会议室-说话人01(00:15:05): 这样子，你看客户购买完了之后待激活状态，然后咱的这个客户成功经理我们包括我们自己给他发那个什么邮件，他可以自己去激活？反正客户到这一步就激活了之后，然后就是我们现在讨论的是标准版用户就是最简单的这个咱们激活了之后，他的坐席其实就是生效的嘛。

韩文程的会议室-说话人02(00:15:25): 最简单的？

韩文程的会议室-说话人01(00:15:31): 按照公司的角度来讲的话，这个时候其实不管他用的好还是不好，这个钱我们都收到了，我都卖出去了，然后一个月后什么，就因为他这个坐席他是按月的嘛，按月订阅的，到时候咱们其实还在看一下它是按自然月还是按咱们付款之日起往后延30天，然后直到这30天用完代表什么，代表咱们20210块钱的席位费就落袋为安了嘛。这都理解吧，所以说我们给销售去结算佣金的时候是按照这个日期来。

韩文程的会议室-说话人03(00:16:04): 要过完这个流程应该30天，他没退款。

韩文程的会议室-说话人01(00:16:06): 流程应该30天，他没退款。

韩文程的会议室-说话人03(00:16:09): 他如果退款你就会很麻烦？

韩文程的会议室-说话人01(00:16:11): 对因为你到时候用应用结算的干嘛的对。

韩文程的会议室-说话人03(00:16:14): 对，就比如果是按他一旦开通了就给他结算佣金了，如果中间那个人又退了钱了怎么办？

韩文程的会议室-说话人01(00:16:24): 包括之后每个月续订也是一样的，假如说客户在我1月份在你们这买了订了一直订一直订一直订，然后曾哥是我的客户经理，然后我6月份续，如果退订了，那其实也是我退订之前生效的那一个月给你的佣金算到那里。

韩文程的会议室-说话人04(00:16:44): 你再说一下问题一遍。

韩文程的会议室-说话人01(00:16:47): 你你看像咱们这个咱们佣金是阶梯是一直一直累计的嘛，比方说曾波你是我的，你是客户对你每个月只要续费对我都每个月都有佣金收。

韩文程的会议室-说话人02(00:16:56): 这个能接收算算算？

韩文程的会议室-说话人01(00:16:58): 对，但是后边你哪个月不续了？就看还是以我们刚刚那个规则看他用没用满30天，如果没用满30天的话，那一个月就不计入他的销售的这个佣金里边去。

韩文程的会议室-说话人03(00:17:09): 这也是。

韩文程的会议室-说话人01(00:17:10): 就以30天为为为基础。

韩文程的会议室-说话人03(00:17:12): 客户。

韩文程的会议室-说话人01(00:17:12): 你应用能够？

韩文程的会议室-说话人03(00:17:13): 买也是一个月？

韩文程的会议室-说话人01(00:17:14): 对你这个运营规则 G 也是一直看当月实际的有没有。

