feature_id,角色域,一级功能,二级功能,三级功能,四级功能,功能点,功能说明,优先级,验收要点,备注,是否有原型,开发是否已实现,版本
ADM-002-01,官方管理员后台,企业管理,企业列表,客户管理,展示核心数据,展示核心数据,官方管理员查看和管理所有企业客户、销售归属和席位摘要：展示核心数据。,T0,用户可以完成“展示核心数据”，且结果符合业务规则。,支持线下签约补录,http://localhost:5160/admin/tenants,是,v1.0
ADM-002-02,官方管理员后台,企业管理,企业列表,客户管理,支持搜索筛选,支持搜索筛选,官方管理员查看和管理所有企业客户、销售归属和席位摘要：支持搜索筛选。,T0,用户可以完成“支持搜索筛选”，且结果符合业务规则。,支持线下签约补录,http://localhost:5160/admin/tenants,是,v1.0
ADM-002-03,官方管理员后台,企业管理,企业列表,客户管理,查看详情或下钻,查看详情或下钻,官方管理员查看和管理所有企业客户、销售归属和席位摘要：查看详情或下钻。,T0,用户可以完成“查看详情或下钻”，且结果符合业务规则。,支持线下签约补录,http://localhost:5160/admin/tenants,是,v1.0
ADM-002-04,官方管理员后台,企业管理,企业列表,客户管理,展示状态与异常,展示状态与异常,官方管理员查看和管理所有企业客户、销售归属和席位摘要：展示状态与异常。,T0,用户可以完成“展示状态与异常”，且结果符合业务规则。,支持线下签约补录,http://localhost:5160/admin/tenants,是,v1.0
ADM-003-01,官方管理员后台,企业管理,企业详情,客户档案,展示基础信息,展示基础信息,官方管理员查看企业基础信息、管理员、订单、席位和开通状态：展示基础信息。,T0,用户可以完成“展示基础信息”，且结果符合业务规则。,高风险代登录分离,/,是,v1.0
ADM-003-02,官方管理员后台,企业管理,企业详情,客户档案,展示关联业务数据,展示关联业务数据,官方管理员查看企业基础信息、管理员、订单、席位和开通状态：展示关联业务数据。,T0,用户可以完成“展示关联业务数据”，且结果符合业务规则。,高风险代登录分离,/,是,v1.0
ADM-003-03,官方管理员后台,企业管理,企业详情,客户档案,支持编辑或备注,支持编辑或备注,官方管理员查看企业基础信息、管理员、订单、席位和开通状态：支持编辑或备注。,T0,用户可以完成“支持编辑或备注”，且结果符合业务规则。,高风险代登录分离,/,是,v1.0
ADM-003-04,官方管理员后台,企业管理,企业详情,客户档案,展示操作历史,展示操作历史,官方管理员查看企业基础信息、管理员、订单、席位和开通状态：展示操作历史。,T0,用户可以完成“展示操作历史”，且结果符合业务规则。,高风险代登录分离,/,否,v2.0
ADM-003-05,官方管理员后台,企业管理,企业详情,客户档案,处理异常状态,处理异常状态,官方管理员查看企业基础信息、管理员、订单、席位和开通状态：处理异常状态。,T0,用户可以完成“处理异常状态”，且结果符合业务规则。,高风险代登录分离,/,是,v1.0
ADM-004-01,官方管理员后台,订单与财务,订单总览,订单列表,查看待处理列表,查看待处理列表,官方管理员查看客户订单、支付状态、开通任务和异常状态：查看待处理列表。,T0,用户可以完成“查看待处理列表”，且结果符合业务规则。,与对公审核和开通任务联动,http://localhost:5160/admin/orders,是,v1.0
