"feature_id","角色域","一级功能","二级功能","三级功能","四级功能","功能说明","优先级","版本","状态","页面路由","来源PRD","验收要点","备注"
"SYS-001","公共与系统","账号与身份","统一登录","账号密码登录","/","用户通过统一登录入口进入系统并按角色跳转到对应工作台","T0","Beta1","已有原型","/login","1-prd/PRD.md","登录成功后可进入客户侧、销售、官方后台或运维入口","真实权限与后端登录态需后续接入"
"SYS-002","公共与系统","账号与身份","客户注册","手机号注册","/","客户填写手机号和验证码创建用户账号","T0","Beta1","已有原型","/register","1-prd-det/客户开户注册与席位激活流程-PRD.md","可创建用户并进入企业开户注册流程","Beta1 可使用 mock 校验"
"SYS-003","公共与系统","开户注册","企业信息登记","USCC 去重","/","客户开户注册时填写企业名称和统一社会信用代码并进行重复校验","T0","Beta1","部分已有","/register","1-prd-det/客户开户注册与席位激活流程-PRD.md","重复企业能提示并阻止重复开户注册","后端唯一性约束需实现"
"SYS-004","公共与系统","开户注册","销售归属","分享链接归因","/","客户通过销售链接或邀请码注册后自动绑定销售归属","T0","Beta1","部分已有","/sales/share /register","1-prd-det/销售CRM-PRD.md","注册后的企业和销售关系可在销售侧与后台查看","需要保留归因来源和时间"
"SYS-005","公共与系统","开户注册","销售归属","公共池分配","/","自然访问或咨询留资客户进入公共池由后台分配销售","T0","Beta1","部分已有","/admin/leads /admin/sales","1-prd-det/客户开户注册与席位激活流程-PRD.md","后台可将线索或客户分配给指定销售","冲突处理后置"
"SYS-006","公共与系统","权限体系","角色路由","基础角色跳转","/","根据客户管理员、销售、官方管理员、运维、代理等角色展示不同导航和页面","T0","Beta1","部分已有","/tenant/overview /sales/dashboard /admin/dashboard /ops/tickets /agent/admin","1-prd/PRD.md","不同角色进入对应工作台且不能看到无关入口","按钮级权限后置"
"SYS-007","公共与系统","通知中心","通知列表","角色通知","/","面向客户、销售、运维、财务、官方管理员展示待办和系统通知","P1","Beta1.1","已有原型","/tenant/notifications /sales/notifications /admin/notifications /ops/notifications","1-prd-det/通知中心-PRD.md","可查看未读、已读、待处理通知并跳转业务页面","Beta1 可只保留关键待办入口"
"SYS-008","公共与系统","审计与安全","操作审计","全局审计","/","记录关键业务操作供后台排查和合规追踪","P1","Beta1.1","已有原型","/admin/system/audit /tenant/audit","1-prd/PRD.md","关键操作有操作者、对象、时间和结果","后台应先记日志，管理页可后补"
"SYS-009","公共与系统","个人中心","账号资料","基础资料","/","用户查看和维护个人资料、联系方式和基础安全设置","P1","Beta1.1","部分已有","/sales/profile","1-prd/PRD.md","用户可查看基本账号信息","不阻断 Beta1 主链路"
"SYS-010","公共与系统","系统配置","角色权限矩阵","按钮级权限","/","官方后台维护角色与权限矩阵","P2","Beta2","后置","/admin/system/roles /admin/settings","1-prd/PRD.md","可配置角色、菜单和按钮权限","Beta1 先用固定角色"
"TEN-001","客户侧","企业空间","空间概览","状态总览","/","客户管理员查看企业空间状态、资源用量、待办和常用入口","T0","Beta1","已有原型","/tenant/overview","1-prd/PRD.md","能看到开通状态、席位概览和关键入口","作为客户侧首页"
"TEN-002","客户侧","企业空间","模型配置","模型参数维护","/","客户管理员查看和调整企业默认模型配置","P1","Beta1.1","已有原型","/tenant/overview/update/model","1-prd/PRD.md","可打开配置页并保存 mock 配置","真实火山模型映射后置"
"TEN-003","客户侧","Claw 管理","模板中心","模板浏览","/","客户管理员浏览可用 Claw 模板并按模板创建助手","P1","Beta1.1","已有原型","/tenant/templates","1-prd/PRD.md","模板列表、分类和详情可用","Beta1 主链路不依赖"
"TEN-004","客户侧","Claw 管理","模板中心","创建模板","/","客户管理员从模板创建或配置企业 Claw","P1","Beta1.1","已有原型","/tenant/templates/create","1-prd/PRD.md","可进入创建流程并完成基础表单","后端保存后接入"
"TEN-005","客户侧","Claw 管理","Claw 列表","助手管理","/","客户管理员查看企业已创建的 Claw 列表和状态","P1","Beta1.1","已有原型","/tenant/claws","1-prd/PRD.md","列表展示名称、状态、权限和入口","真实能力调用后置"
"TEN-006","客户侧","能力中心","技能中心","技能安装","/","客户管理员查看、安装和管理企业可用技能","P1","Beta1.1","已有原型","/tenant/skills","1-prd/PRD.md","技能列表与安装状态可见","结合现有指引视频素材"
