feature_id,角色域,一级功能,二级功能,三级功能,四级功能,功能点,功能说明,优先级,验收要点,备注,是否有原型,开发是否已实现,版本
TEN-001-01,客户侧,企业空间,空间概览,状态总览,展示核心数据,展示核心数据,客户管理员查看企业空间状态、资源用量、待办和常用入口：展示核心数据。,T0,用户可以完成“展示核心数据”，且结果符合业务规则。,作为客户侧首页,http://localhost:5160/tenant/overview,否,v1.3
TEN-001-02,客户侧,企业空间,空间概览,状态总览,支持搜索筛选,支持搜索筛选,客户管理员查看企业空间状态、资源用量、待办和常用入口：支持搜索筛选。,T0,用户可以完成“支持搜索筛选”，且结果符合业务规则。,作为客户侧首页,http://localhost:5160/tenant/overview,否,v1.3
TEN-001-03,客户侧,企业空间,空间概览,状态总览,查看详情或下钻,查看详情或下钻,客户管理员查看企业空间状态、资源用量、待办和常用入口：查看详情或下钻。,T0,用户可以完成“查看详情或下钻”，且结果符合业务规则。,作为客户侧首页,http://localhost:5160/tenant/overview,否,v1.3
TEN-001-04,客户侧,企业空间,空间概览,状态总览,展示状态与异常,展示状态与异常,客户管理员查看企业空间状态、资源用量、待办和常用入口：展示状态与异常。,T0,用户可以完成“展示状态与异常”，且结果符合业务规则。,作为客户侧首页,http://localhost:5160/tenant/overview,否,v1.3
TEN-001-05,客户侧,企业空间,空间概览,状态总览,处理空状态和加载失败,处理空状态和加载失败,客户管理员查看企业空间状态、资源用量、待办和常用入口：处理空状态和加载失败。,T0,用户可以完成“处理空状态和加载失败”，且结果符合业务规则。,作为客户侧首页,http://localhost:5160/tenant/overview,否,v1.3
TEN-002-01,客户侧,企业空间,模型配置,模型参数维护,查看当前配置,查看当前配置,客户管理员查看和调整企业默认模型配置：查看当前配置。,P1,用户可以完成“查看当前配置”，且结果符合业务规则。,真实火山模型映射后置,http://localhost:5160/tenant/overview/update/model,否,v1.3
TEN-002-02,客户侧,企业空间,模型配置,模型参数维护,新增或编辑配置,新增或编辑配置,客户管理员查看和调整企业默认模型配置：新增或编辑配置。,P1,用户可以完成“新增或编辑配置”，且结果符合业务规则。,真实火山模型映射后置,http://localhost:5160/tenant/overview/update/model,否,v1.3
TEN-002-03,客户侧,企业空间,模型配置,模型参数维护,校验配置有效性,校验配置有效性,客户管理员查看和调整企业默认模型配置：校验配置有效性。,P1,用户可以完成“校验配置有效性”，且结果符合业务规则。,真实火山模型映射后置,http://localhost:5160/tenant/overview/update/model,否,v1.3
TEN-002-04,客户侧,企业空间,模型配置,模型参数维护,保存并生效,保存并生效,客户管理员查看和调整企业默认模型配置：保存并生效。,P1,用户可以完成“保存并生效”，且结果符合业务规则。,真实火山模型映射后置,http://localhost:5160/tenant/overview/update/model,否,v1.3
TEN-002-05,客户侧,企业空间,模型配置,模型参数维护,记录配置变更,记录配置变更,客户管理员查看和调整企业默认模型配置：记录配置变更。,P1,用户可以完成“记录配置变更”，且结果符合业务规则。,真实火山模型映射后置,http://localhost:5160/tenant/overview/update/model,否,v1.3
TEN-003-01,客户侧,Claw 管理,模板中心,模板浏览,展示核心数据,展示核心数据,客户管理员浏览可用 Claw 模板并按模板创建助手：展示核心数据。,P1,用户可以完成“展示核心数据”，且结果符合业务规则。,Beta1 主链路不依赖,http://localhost:5160/tenant/templates,否,v1.3
TEN-003-02,客户侧,Claw 管理,模板中心,模板浏览,支持搜索筛选,支持搜索筛选,客户管理员浏览可用 Claw 模板并按模板创建助手：支持搜索筛选。,P1,用户可以完成“支持搜索筛选”，且结果符合业务规则。,Beta1 主链路不依赖,http://localhost:5160/tenant/templates,否,v1.3
TEN-003-03,客户侧,Claw 管理,模板中心,模板浏览,查看详情或下钻,查看详情或下钻,客户管理员浏览可用 Claw 模板并按模板创建助手：查看详情或下钻。,P1,用户可以完成“查看详情或下钻”，且结果符合业务规则。,Beta1 主链路不依赖,http://localhost:5160/tenant/templates,否,v1.3
TEN-003-04,客户侧,Claw 管理,模板中心,模板浏览,展示状态与异常,展示状态与异常,客户管理员浏览可用 Claw 模板并按模板创建助手：展示状态与异常。,P1,用户可以完成“展示状态与异常”，且结果符合业务规则。,Beta1 主链路不依赖,http://localhost:5160/tenant/templates,否,v1.3
TEN-003-05,客户侧,Claw 管理,模板中心,模板浏览,处理空状态和加载失败,处理空状态和加载失败,客户管理员浏览可用 Claw 模板并按模板创建助手：处理空状态和加载失败。,P1,用户可以完成“处理空状态和加载失败”，且结果符合业务规则。,Beta1 主链路不依赖,http://localhost:5160/tenant/templates,否,v1.3
TEN-004-01,客户侧,Claw 管理,模板中心,创建模板,展示核心数据,展示核心数据,客户管理员从模板创建或配置企业 Claw：展示核心数据。,P1,用户可以完成“展示核心数据”，且结果符合业务规则。,后端保存后接入,http://localhost:5160/tenant/templates/create,否,v1.3
TEN-004-02,客户侧,Claw 管理,模板中心,创建模板,支持搜索筛选,支持搜索筛选,客户管理员从模板创建或配置企业 Claw：支持搜索筛选。,P1,用户可以完成“支持搜索筛选”，且结果符合业务规则。,后端保存后接入,http://localhost:5160/tenant/templates/create,否,v1.3
TEN-004-03,客户侧,Claw 管理,模板中心,创建模板,查看详情或下钻,查看详情或下钻,客户管理员从模板创建或配置企业 Claw：查看详情或下钻。,P1,用户可以完成“查看详情或下钻”，且结果符合业务规则。,后端保存后接入,http://localhost:5160/tenant/templates/create,否,v1.3
TEN-004-04,客户侧,Claw 管理,模板中心,创建模板,展示状态与异常,展示状态与异常,客户管理员从模板创建或配置企业 Claw：展示状态与异常。,P1,用户可以完成“展示状态与异常”，且结果符合业务规则。,后端保存后接入,http://localhost:5160/tenant/templates/create,否,v1.3
TEN-004-05,客户侧,Claw 管理,模板中心,创建模板,处理空状态和加载失败,处理空状态和加载失败,客户管理员从模板创建或配置企业 Claw：处理空状态和加载失败。,P1,用户可以完成“处理空状态和加载失败”，且结果符合业务规则。,后端保存后接入,http://localhost:5160/tenant/templates/create,否,v1.3
TEN-005-01,客户侧,Claw 管理,Claw 列表,助手管理,展示核心数据,展示核心数据,客户管理员查看企业已创建的 Claw 列表和状态：展示核心数据。,P1,用户可以完成“展示核心数据”，且结果符合业务规则。,真实能力调用后置,http://localhost:5160/tenant/claws,否,v1.1
TEN-005-02,客户侧,Claw 管理,Claw 列表,助手管理,支持搜索筛选,支持搜索筛选,客户管理员查看企业已创建的 Claw 列表和状态：支持搜索筛选。,P1,用户可以完成“支持搜索筛选”，且结果符合业务规则。,真实能力调用后置,http://localhost:5160/tenant/claws,否,v1.1
TEN-005-03,客户侧,Claw 管理,Claw 列表,助手管理,查看详情或下钻,查看详情或下钻,客户管理员查看企业已创建的 Claw 列表和状态：查看详情或下钻。,P1,用户可以完成“查看详情或下钻”，且结果符合业务规则。,真实能力调用后置,http://localhost:5160/tenant/claws,否,v1.1
TEN-005-04,客户侧,Claw 管理,Claw 列表,助手管理,展示状态与异常,展示状态与异常,客户管理员查看企业已创建的 Claw 列表和状态：展示状态与异常。,P1,用户可以完成“展示状态与异常”，且结果符合业务规则。,真实能力调用后置,http://localhost:5160/tenant/claws,否,v1.1
TEN-005-05,客户侧,Claw 管理,Claw 列表,助手管理,处理空状态和加载失败,处理空状态和加载失败,客户管理员查看企业已创建的 Claw 列表和状态：处理空状态和加载失败。,P1,用户可以完成“处理空状态和加载失败”，且结果符合业务规则。,真实能力调用后置,http://localhost:5160/tenant/claws,否,v1.1
TEN-006-01,客户侧,能力中心,技能中心,技能安装,展示核心数据,展示核心数据,客户管理员查看、安装和管理企业可用技能：展示核心数据。,P1,用户可以完成“展示核心数据”，且结果符合业务规则。,结合现有指引视频素材,http://localhost:5160/tenant/skills,否,v1.3
