feature_id,角色域,一级功能,二级功能,三级功能,四级功能,功能点,功能说明,优先级,验收要点,备注,是否有原型,开发是否已实现,版本
OPS-001-01,交付运维后台,工单流转,我的工单,队列列表,查看交付工单队列,查看交付工单队列,展示分配给运维的交付工单。,T0,工单包含状态、优先级、来源、SLA 和负责人。,Beta1 运维核心入口,http://localhost:5160/ops/tickets http://localhost:5160/ops/support-tickets,是,v1.0
OPS-001-02,交付运维后台,工单流转,我的工单,队列列表,筛选工单,筛选工单,按类型、状态、优先级、客户和负责人筛选。,T0,筛选结果准确。,Beta1 运维核心入口,http://localhost:5160/ops/tickets http://localhost:5160/ops/support-tickets,是,v1.0
OPS-001-03,交付运维后台,工单流转,我的工单,队列列表,批量改派工单,批量改派工单,运维主管批量改派工单负责人。,T0,改派后负责人和记录同步变化。,Beta1 运维核心入口,http://localhost:5160/ops/tickets http://localhost:5160/ops/support-tickets,是,v1.0
OPS-001-04,交付运维后台,工单流转,我的工单,队列列表,查看 SLA 状态,查看 SLA 状态,展示即将超时和已超时工单。,T0,超时状态有明显标识。,Beta1 运维核心入口,http://localhost:5160/ops/tickets http://localhost:5160/ops/support-tickets,否,v1.1
OPS-001-05,交付运维后台,工单流转,我的工单,队列列表,进入工单详情,进入工单详情,点击工单进入处理页面。,T0,详情页展示同一工单上下文。,Beta1 运维核心入口,http://localhost:5160/ops/tickets http://localhost:5160/ops/support-tickets,是,v1.0
OPS-003-01,交付运维后台,工单流转,支持工单,客户问题处理,填写业务表单,填写业务表单,运维处理客户提交的支持类问题并同步状态：填写业务表单。,P1,用户可以完成“填写业务表单”，且结果符合业务规则。,Beta1 可与交付工单共用页面,http://localhost:5160/ops/support-tickets,否,v1.1
OPS-003-02,交付运维后台,工单流转,支持工单,客户问题处理,校验必填和格式,校验必填和格式,运维处理客户提交的支持类问题并同步状态：校验必填和格式。,P1,用户可以完成“校验必填和格式”，且结果符合业务规则。,Beta1 可与交付工单共用页面,http://localhost:5160/ops/support-tickets,否,v1.1
OPS-003-03,交付运维后台,工单流转,支持工单,客户问题处理,提交创建请求,提交创建请求,运维处理客户提交的支持类问题并同步状态：提交创建请求。,P1,用户可以完成“提交创建请求”，且结果符合业务规则。,Beta1 可与交付工单共用页面,http://localhost:5160/ops/support-tickets,否,v1.1
OPS-003-04,交付运维后台,工单流转,支持工单,客户问题处理,展示成功反馈,展示成功反馈,运维处理客户提交的支持类问题并同步状态：展示成功反馈。,P1,用户可以完成“展示成功反馈”，且结果符合业务规则。,Beta1 可与交付工单共用页面,http://localhost:5160/ops/support-tickets,否,v1.1
OPS-003-05,交付运维后台,工单流转,支持工单,客户问题处理,处理失败与重复提交,处理失败与重复提交,运维处理客户提交的支持类问题并同步状态：处理失败与重复提交。,P1,用户可以完成“处理失败与重复提交”，且结果符合业务规则。,Beta1 可与交付工单共用页面,http://localhost:5160/ops/support-tickets,否,v1.1
OPS-004-01,交付运维后台,客户上下文,企业管理,企业只读视图,展示任务列表,展示任务列表,运维查看企业客户、订单和开通上下文用于排查：展示任务列表。,P1,用户可以完成“展示任务列表”，且结果符合业务规则。,权限应只读为主,http://localhost:5160/ops/tenants,否,v1.1
