feature_id,角色域,一级功能,二级功能,三级功能,四级功能,功能点,功能说明,优先级,验收要点,备注,是否有原型,开发是否已实现,版本
AGT-001-01,代理镜像站,代理工作台,管理员首页,经营概览,展示核心数据,展示核心数据,代理管理员查看客户、订单、余额、待办和经营指标：展示核心数据。,T0,用户可以完成“展示核心数据”，且结果符合业务规则。,当前项目已有代理入口,/,否,v2.0
AGT-001-02,代理镜像站,代理工作台,管理员首页,经营概览,支持搜索筛选,支持搜索筛选,代理管理员查看客户、订单、余额、待办和经营指标：支持搜索筛选。,T0,用户可以完成“支持搜索筛选”，且结果符合业务规则。,当前项目已有代理入口,/,否,v2.0
AGT-001-03,代理镜像站,代理工作台,管理员首页,经营概览,查看详情或下钻,查看详情或下钻,代理管理员查看客户、订单、余额、待办和经营指标：查看详情或下钻。,T0,用户可以完成“查看详情或下钻”，且结果符合业务规则。,当前项目已有代理入口,/,否,v2.0
AGT-001-04,代理镜像站,代理工作台,管理员首页,经营概览,展示状态与异常,展示状态与异常,代理管理员查看客户、订单、余额、待办和经营指标：展示状态与异常。,T0,用户可以完成“展示状态与异常”，且结果符合业务规则。,当前项目已有代理入口,/,否,v2.0
AGT-001-05,代理镜像站,代理工作台,管理员首页,经营概览,处理空状态和加载失败,处理空状态和加载失败,代理管理员查看客户、订单、余额、待办和经营指标：处理空状态和加载失败。,T0,用户可以完成“处理空状态和加载失败”，且结果符合业务规则。,当前项目已有代理入口,/,否,v2.0
AGT-002-01,代理镜像站,客户管理,代理客户,客户列表,展示核心数据,展示核心数据,代理管理员查看代理名下客户和开通状态：展示核心数据。,T0,用户可以完成“展示核心数据”，且结果符合业务规则。,强制 agent_id 数据隔离,/,否,v2.0
AGT-002-02,代理镜像站,客户管理,代理客户,客户列表,支持搜索筛选,支持搜索筛选,代理管理员查看代理名下客户和开通状态：支持搜索筛选。,T0,用户可以完成“支持搜索筛选”，且结果符合业务规则。,强制 agent_id 数据隔离,/,否,v2.0
AGT-002-03,代理镜像站,客户管理,代理客户,客户列表,查看详情或下钻,查看详情或下钻,代理管理员查看代理名下客户和开通状态：查看详情或下钻。,T0,用户可以完成“查看详情或下钻”，且结果符合业务规则。,强制 agent_id 数据隔离,/,否,v2.0
AGT-002-04,代理镜像站,客户管理,代理客户,客户列表,展示状态与异常,展示状态与异常,代理管理员查看代理名下客户和开通状态：展示状态与异常。,T0,用户可以完成“展示状态与异常”，且结果符合业务规则。,强制 agent_id 数据隔离,/,否,v2.0
AGT-002-05,代理镜像站,客户管理,代理客户,客户列表,处理空状态和加载失败,处理空状态和加载失败,代理管理员查看代理名下客户和开通状态：处理空状态和加载失败。,T0,用户可以完成“处理空状态和加载失败”，且结果符合业务规则。,强制 agent_id 数据隔离,/,否,v2.0
