feature_id,角色域,一级功能,二级功能,三级功能,四级功能,功能点,功能说明,优先级,验收要点,备注,是否有原型,开发是否已实现,版本
FIN-001-01,财务侧,财务工作台,仪表盘,财务待办,查看待处理列表,查看待处理列表,财务查看待对公复核、待开票、佣金和提现待办：查看待处理列表。,P1,用户可以完成“查看待处理列表”，且结果符合业务规则。,Beta1 可先由官方后台承接,http://localhost:5160/finance/dashboard,是,v1.0
FIN-001-02,财务侧,财务工作台,仪表盘,财务待办,查看审核材料,查看审核材料,财务查看待对公复核、待开票、佣金和提现待办：查看审核材料。,P1,用户可以完成“查看审核材料”，且结果符合业务规则。,Beta1 可先由官方后台承接,http://localhost:5160/finance/dashboard,否,v1.1
FIN-001-03,财务侧,财务工作台,仪表盘,财务待办,提交通过结果,提交通过结果,财务查看待对公复核、待开票、佣金和提现待办：提交通过结果。,P1,用户可以完成“提交通过结果”，且结果符合业务规则。,Beta1 可先由官方后台承接,http://localhost:5160/finance/dashboard,是,v1.0
FIN-001-04,财务侧,财务工作台,仪表盘,财务待办,提交驳回结果,提交驳回结果,财务查看待对公复核、待开票、佣金和提现待办：提交驳回结果。,P1,用户可以完成“提交驳回结果”，且结果符合业务规则。,Beta1 可先由官方后台承接,http://localhost:5160/finance/dashboard,是,v1.0
FIN-001-05,财务侧,财务工作台,仪表盘,财务待办,记录审核日志,记录审核日志,财务查看待对公复核、待开票、佣金和提现待办：记录审核日志。,P1,用户可以完成“记录审核日志”，且结果符合业务规则。,Beta1 可先由官方后台承接,http://localhost:5160/finance/dashboard,否,v1.1
FIN-002-01,财务侧,订单财务,企业与订单,财务只读,展示任务列表,展示任务列表,财务查看企业、订单、发票和开通进度：展示任务列表。,P1,用户可以完成“展示任务列表”，且结果符合业务规则。,数据权限应受限,http://localhost:5160/finance/tenants http://localhost:5160/finance/orders http://localhost:5160/finance/orders/invoices,是,v1.0
FIN-002-02,财务侧,订单财务,企业与订单,财务只读,查看任务详情,查看任务详情,财务查看企业、订单、发票和开通进度：查看任务详情。,P1,用户可以完成“查看任务详情”，且结果符合业务规则。,数据权限应受限,http://localhost:5160/finance/tenants http://localhost:5160/finance/orders http://localhost:5160/finance/orders/invoices,是,v1.0
FIN-002-03,财务侧,订单财务,企业与订单,财务只读,推进任务状态,推进任务状态,财务查看企业、订单、发票和开通进度：推进任务状态。,P1,用户可以完成“推进任务状态”，且结果符合业务规则。,数据权限应受限,http://localhost:5160/finance/tenants http://localhost:5160/finance/orders http://localhost:5160/finance/orders/invoices,是,v1.0
FIN-002-04,财务侧,订单财务,企业与订单,财务只读,记录处理结果,记录处理结果,财务查看企业、订单、发票和开通进度：记录处理结果。,P1,用户可以完成“记录处理结果”，且结果符合业务规则。,数据权限应受限,http://localhost:5160/finance/tenants http://localhost:5160/finance/orders http://localhost:5160/finance/orders/invoices,是,v1.0
FIN-002-05,财务侧,订单财务,企业与订单,财务只读,同步通知关联角色,同步通知关联角色,财务查看企业、订单、发票和开通进度：同步通知关联角色。,P1,用户可以完成“同步通知关联角色”，且结果符合业务规则。,数据权限应受限,http://localhost:5160/finance/tenants http://localhost:5160/finance/orders http://localhost:5160/finance/orders/invoices,否,v1.1
