feature_id,角色域,一级功能,二级功能,三级功能,四级功能,功能点,功能说明,优先级,验收要点,备注,是否有原型,开发是否已实现,版本
API-001-01,API 与开放能力,API 密钥,密钥列表,Key 生命周期,展示核心数据,展示核心数据,客户管理员查看 API Key 列表、状态、创建时间和最近调用：展示核心数据。,P1,用户可以完成“展示核心数据”，且结果符合业务规则。,需补充详细规则,/,否,v2.0
API-001-02,API 与开放能力,API 密钥,密钥列表,Key 生命周期,支持搜索筛选,支持搜索筛选,客户管理员查看 API Key 列表、状态、创建时间和最近调用：支持搜索筛选。,P1,用户可以完成“支持搜索筛选”，且结果符合业务规则。,需补充详细规则,/,否,v2.0
API-001-03,API 与开放能力,API 密钥,密钥列表,Key 生命周期,查看详情或下钻,查看详情或下钻,客户管理员查看 API Key 列表、状态、创建时间和最近调用：查看详情或下钻。,P1,用户可以完成“查看详情或下钻”，且结果符合业务规则。,需补充详细规则,/,否,v2.0
API-001-04,API 与开放能力,API 密钥,密钥列表,Key 生命周期,展示状态与异常,展示状态与异常,客户管理员查看 API Key 列表、状态、创建时间和最近调用：展示状态与异常。,P1,用户可以完成“展示状态与异常”，且结果符合业务规则。,需补充详细规则,/,否,v2.0
API-001-05,API 与开放能力,API 密钥,密钥列表,Key 生命周期,处理空状态和加载失败,处理空状态和加载失败,客户管理员查看 API Key 列表、状态、创建时间和最近调用：处理空状态和加载失败。,P1,用户可以完成“处理空状态和加载失败”，且结果符合业务规则。,需补充详细规则,/,否,v2.0
API-002-01,API 与开放能力,API 密钥,创建密钥,权限范围,填写业务表单,填写业务表单,客户管理员创建 API Key 并设置名称、环境、权限范围和限额：填写业务表单。,P1,用户可以完成“填写业务表单”，且结果符合业务规则。,需补充详细规则,/,否,v2.0
API-002-02,API 与开放能力,API 密钥,创建密钥,权限范围,校验必填和格式,校验必填和格式,客户管理员创建 API Key 并设置名称、环境、权限范围和限额：校验必填和格式。,P1,用户可以完成“校验必填和格式”，且结果符合业务规则。,需补充详细规则,/,否,v2.0
API-002-03,API 与开放能力,API 密钥,创建密钥,权限范围,提交创建请求,提交创建请求,客户管理员创建 API Key 并设置名称、环境、权限范围和限额：提交创建请求。,P1,用户可以完成“提交创建请求”，且结果符合业务规则。,需补充详细规则,/,否,v2.0
API-002-04,API 与开放能力,API 密钥,创建密钥,权限范围,展示成功反馈,展示成功反馈,客户管理员创建 API Key 并设置名称、环境、权限范围和限额：展示成功反馈。,P1,用户可以完成“展示成功反馈”，且结果符合业务规则。,需补充详细规则,/,否,v2.0
API-002-05,API 与开放能力,API 密钥,创建密钥,权限范围,处理失败与重复提交,处理失败与重复提交,客户管理员创建 API Key 并设置名称、环境、权限范围和限额：处理失败与重复提交。,P1,用户可以完成“处理失败与重复提交”，且结果符合业务规则。,需补充详细规则,/,否,v2.0
