feature_id,角色域,一级功能,二级功能,三级功能,四级功能,功能点,功能说明,优先级,验收要点,备注,是否有原型,开发是否已实现,版本
SAL-002-01,销售侧,客户经营,我的客户池,客户列表,展示客户池列表,展示客户池列表,展示客户名称、状态、来源、累计回款、累计佣金和最近跟进。,T0,销售只看到自己名下客户。,Beta1 不做复杂导出,http://localhost:5160/sales/customers,是,v1.0
SAL-002-02,销售侧,客户经营,我的客户池,客户列表,搜索客户,搜索客户,支持按客户名称、联系人、手机号、USCC 搜索。,T0,搜索结果只包含匹配客户。,Beta1 不做复杂导出,http://localhost:5160/sales/customers,是,v1.0
SAL-002-03,销售侧,客户经营,我的客户池,客户列表,筛选客户状态,筛选客户状态,按潜在、已注册、已下单、已开通、异常等状态筛选。,T0,筛选条件生效且可清空。,Beta1 不做复杂导出,http://localhost:5160/sales/customers,是,v1.0
SAL-002-04,销售侧,客户经营,我的客户池,客户列表,排序客户列表,排序客户列表,按绑定时间、累计回款、累计佣金、最近跟进排序。,T0,排序结果符合选择规则。,Beta1 不做复杂导出,http://localhost:5160/sales/customers,否,v1.1
SAL-002-05,销售侧,客户经营,我的客户池,客户列表,进入客户详情,进入客户详情,点击客户进入详情页。,T0,详情页展示同一客户完整信息。,Beta1 不做复杂导出,http://localhost:5160/sales/customers,是,v1.0
SAL-003-01,销售侧,客户经营,新增客户,手动录入,填写新增客户表单,填写新增客户表单,销售录入企业、联系人、手机号、行业和备注。,T0,必填字段缺失时阻止提交。,真实查重后端接入,http://localhost:5160/sales/customers/new,是,v1.0
SAL-003-02,销售侧,客户经营,新增客户,手动录入,实时校验 USCC,实时校验 USCC,录入 USCC 后检查是否已存在。,T0,已存在时提示当前归属或冲突。,真实查重后端接入,http://localhost:5160/sales/customers/new,是,v1.0
SAL-003-03,销售侧,客户经营,新增客户,手动录入,实时校验手机号,实时校验手机号,录入联系人手机号后检查重复客户。,T0,重复手机号提示销售处理方式。,真实查重后端接入,http://localhost:5160/sales/customers/new,否,v1.1
SAL-003-04,销售侧,客户经营,新增客户,手动录入,提交新增客户,提交新增客户,销售提交后创建客户池条目。,T0,新增客户出现在我的客户池。,真实查重后端接入,http://localhost:5160/sales/customers/new,是,v1.0
SAL-003-05,销售侧,客户经营,新增客户,手动录入,处理撞单提示,处理撞单提示,客户归属其他销售时展示撞单提示并阻止直接创建。,T0,撞单处理不改变现有归属。,真实查重后端接入,http://localhost:5160/sales/customers/new,是,v1.0
