韩文程的会议室-说话人01(00:00:00): 我们这有个创建那激活码要创建。这些细微信息都在我们这边去维护对。

韩文程的会议室-说话人02(00:00:09): 会有一些，到时候这里我们看看去能不能做些这些东西可以记录。

韩文程的会议室-说话人01(00:00:20): 他回到后来。

韩文程的会议室-说话人02(00:00:23): 哪个才是。

韩文程的会议室-说话人01(00:00:23): 还是管理的系统这是我们那边的。

韩文程的会议室-说话人02(00:00:25): 系统这是我们那边的，这是我们款。

韩文程的会议室-说话人01(00:00:28): 开通任务就是刚才的激活码，退款就是这个模型，那就退款审核。那就照还是退款都要办退款了，就是。

韩文程的会议室-说话人02(00:00:38): 我如何让他退款？

韩文程的会议室-说话人01(00:00:43): 还是正常的吗？我们这边公对公给他打过去，打完之后直接在这写一个？

韩文程的会议室-说话人02(00:00:47): 就在这。

韩文程的会议室-说话人01(00:00:49): 一，跟购买的流程是一样的版本一。

韩文程的会议室-说话人02(00:00:51): 退款一般让他联系，由客服去说我要退款才。

韩文程的会议室-说话人01(00:00:55): 不行。

韩文程的会议室-说话人03(00:00:56): 就回去把这个口也是一样的释放出来，要不要开，我感觉这边又要上。

韩文程的会议室-说话人02(00:01:01): 目标上都是新的好！对，然后销售管理，就每个销售他会有一个大概的表是他这个月卖多少钱？

韩文程的会议室-说话人01(00:01:17): 销售管理在哪新加销售？

韩文程的会议室-说话人02(00:01:20): 新疆都在最最西边？

韩文程的会议室-说话人01(00:01:22): 内部员工账号。

韩文程的会议室-说话人02(00:01:24): 对。

韩文程的会议室-说话人01(00:01:26): 有没有像他？

韩文程的会议室-说话人02(00:01:27): 对，这里就可以会有一些详细的，他的操作人日志能够能看到，因为你要看他妈的，他登录平台。

韩文程的会议室-说话人03(00:01:40): 这个佣金是个什么概念，佣金率就是干这是给销售提成？

韩文程的会议室-说话人02(00:01:45): 就提成提5%那个5%。

韩文程的会议室-说话人03(00:01:48): 这不是？

韩文程的会议室-说话人02(00:01:50): 怎么怎么可以考虑定好，对定好就是说是5%然后按先按12个月，只要你卖这个单，然后这12个月内你每个月都拿5%的一个佣金。

韩文程的会议室-说话人03(00:02:01): 咱现在只是给他去做展示还是要地方要大。

韩文程的会议室-说话人02(00:02:06): 地方要打钱吗？

韩文程的会议室-说话人03(00:02:09): 就涉不涉及到什么嘛，涉不涉及到直接在这里什么点什么提现什么乱七八糟的。

韩文程的会议室-说话人02(00:02:16): 是要消费体现吗？我觉得不会。我觉得这个是不是就是一个记录一个状态，就这个他这个佣金肯定是你做我们企业，他连着公司工资一起给他打打，这样子可以，就是这个。

韩文程的会议室-说话人03(00:02:29): 我感觉这块对我感觉这块你们对销售怎么去提这个佣金。

